X,Y,SMEDBOEscolas_municipaisOBJECTID,SMEDBOEscolas_municipaiscod_SMA,SMEDBOEscolas_municipaisDESIGNACAO,SMEDBOEscolas_municipaisChave,SMEDBOEscolas_municipaiscod_INEP,SMEDBOEscolas_municipaisNome_Escola,SMEDBOEscolas_municipaisendereco,SMEDBOEscolas_municipaiscod_Bairro,SMEDBOEscolas_municipaisBairro,SMEDBOEscolas_municipaisCRE,SMEDBOEscolas_municipaiscod_atividade,SMEDBOEscolas_municipaistelefones,SMEDBOEscolas_municipaisflg_valida,SMEDBOEscolas_municipaisOBS,SMEDBOEscolas_municipaislink_cartela,SMEDBOEscolas_municipaisano_criacao,SMEDBOEscolas_municipaisflg_ativa,SMEDBOEscolas_municipaisData_Inc,SMEDBOEscolas_municipaisData_Atv_Conv,SMEDBOEscolas_municipaisData_Desatv_Conv,SMEDBOEscolas_municipaisData_Atv,SMEDBOEscolas_municipaisData_Desatv,SMEDBOEscolas_municipaisTP_status_RioUrbe,SMEDBOEscolas_municipaisCod_RioUrbe,SMEDBOEscolas_municipaiscod_conveniada,SMEDBOEscolas_municipaisGlobalID,SMEDBOEscolas_municipaisFlag_Escola_Amanha,SMEDBOEscolas_municipaisFlg_UPP,SMEDBOEscolas_municipaisFlg_Gestao,SMEDBOEscolas_municipaisLink_Foto,SMEDBOEscolas_municipaisFlg_saude_escola,SMEDBOEscolas_municipaisData_Inauguracao,SMEDBOEscolas_municipaisDesignacao_num,SMEDBOEscolas_municipaisNome_abrev,SMEDBOEscolas_municipaisCod_microarea,SMEDBODados_Unidades_escolaresOBJECTID,SMEDBODados_Unidades_escolaresCRE,SMEDBODados_Unidades_escolaresDESIGNACAO,SMEDBODados_Unidades_escolaresNome_Escola,SMEDBODados_Unidades_escolaresGlobalID,SMEDBODados_Unidades_escolaresTurmasCreche,SMEDBODados_Unidades_escolaresTurmasPreEscola,SMEDBODados_Unidades_escolaresTurmasCA,SMEDBODados_Unidades_escolaresTurmasPrimario,SMEDBODados_Unidades_escolaresTurmasGinasio,SMEDBODados_Unidades_escolaresTurmasCe,SMEDBODados_Unidades_escolaresTurmasProjetos,SMEDBODados_Unidades_escolaresTurmasPeja,SMEDBODados_Unidades_escolaresSalasAula,SMEDBODados_Unidades_escolaresTurmasEI,SMEDBODados_Unidades_escolaresDesigna
-43.252083970719404,-22.921132747192456,12,010887,0209021,10887,33068372,Escola Municipal Presidente João Goulart,"Rua Barão de Mesquita, 850  ",37,Andarai,02,1,2578-7240,S, ,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10887&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{5354EE5B-5F2E-4481-8296-4C5175EBBB8F},0,0,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0209021.jpg,0,,209021,EM Pres. João Goulart,2.16,248,02,0209021,Escola Municipal Presidente João Goulart,{0ED2F471-EEEF-42F7-8416-039F2DB144A8},0,3,8,9,9,0,1,0,25,3,0209021
-43.257756452183081,-22.921895987182108,13,010891,0209025,10891,33068275,Escola Municipal Francisco Campos,"Rua Nossa Senhora de Lourdes, 175  ",38,Grajau,02,1,2577-3124,S, ,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10891&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{6B28C81A-AA22-407F-A964-A2DA013E5D35},0,0,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0209025.jpg,0,,209025,EM Francisco Campos,2.16,251,02,0209025,Escola Municipal Francisco Campos,{CC0331E2-F871-4B37-BAD3-4AE93CFB4EA5},0,10,15,13,11,0,0,0,27,10,0209025
-43.264666709109591,-22.923038567451258,14,010892,0209026,10892,33068380,Escola Municipal Professor Lourenço Filho,"Pça. Edmundo Rego, 11  ",38,Grajau,02,1,2576-7244,S, ,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10892&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{DEEF6796-8E3E-426D-9F68-BBB06B39E54E},0,0,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0209026.jpg,0,,209026,EM Prof° Lourenço Filho,2.14,252,02,0209026,Escola Municipal Professor Lourenço Filho,{617E8486-3701-487B-88B5-44D6306FBD5F},0,0,0,4,10,0,0,0,8,0,0209026
-43.274148600486669,-22.884464972464066,15,011493,0312012,11493,33072965,Escola Municipal Manoel Bomfim,"Rua Braque, 31  ",53,Del Castilho,03,1,2281-4448,S, ,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11493&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{90D8E419-F73E-4F6A-971A-B9612D6E8362},0,0,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0312012.jpg,1,,312012,EM Manoel Bomfim,3.13,25,03,0312012,Escola Municipal Manoel Bomfim,{13DF4E95-218B-471B-8868-8781DEACBD82},0,0,4,10,11,0,0,0,16,0,0312012
-43.289141349569995,-22.868262424519461,16,011495,0312014,11495,33073058,Escola Municipal Nereu Sampaio,"Rua Nunes Viana, S/Nº  ",54,Inhauma,03,1,2595-1411,S, ,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11495&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{A47934DA-31DD-4009-8CFA-1E6127DBD00D},0,2,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0312014.jpg,1,,312014,EM Nereu Sampaio,3.18,27,03,0312014,Escola Municipal Nereu Sampaio,{8B4254A2-166E-420D-A753-022FEA423512},0,4,11,6,8,0,1,12,19,4,0312014
-43.286072957322311,-22.870439579562671,17,011500,0312019,11500,33073074,Escola Municipal Olavo Josino de Salles,"Rua Guarapuava, S/Nº  ",54,Inhauma,03,1,2592-1895,S,Telefone 2592-1895,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11500&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{0814DEAF-05AB-4059-8853-B6E32D14779D},0,2,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0312019.jpg,1,,312019,EM Olavo Josino de Salles,3.18,32,03,0312019,Escola Municipal Olavo Josino de Salles,{B172654A-D199-474D-ADB4-92D8FB9A54D0},0,3,7,8,11,0,0,0,15,3,0312019
-43.274865571544048,-22.879512710537778,18,011859,0312502,11859,33071349,CIEP Procópio Ferreira,"Praça da Confederação Suíça, S/Nº  ",53,Del Castilho,03,3,2581-6024,S, ,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11859&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{D98C0A11-0FC1-438F-B864-3C894D77B600},0,0,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0312502.jpg,1,,312502,CIEP Procópio Ferreira,3.14,,,,,,,,,,,,,,,,
-43.276550237895414,-22.872352782609809,19,011858,0312503,11858,33088489,CIEP Coronel Sarmento,"Av. Itaóca, S/Nº  ",54,Inhauma,03,3,2595-6503,S, ,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11858&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{9980ECD5-CDCA-4459-A323-72E02CBBFC5A},0,2,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0312503.jpg,1,,312503,CIEP Coronel Sarmento,3.19,54,03,0312503,Ciep Coronel Sarmento,{BE1FB58B-0C78-4AC4-BD19-ECB05D95B24D},0,6,12,4,0,3,0,0,28,6,0312503
-43.280032874669438,-22.904013334406461,20,011838,0313020,11838,33072574,Escola Municipal Bento Ribeiro,"Rua Cônego Tobias, 112  ",63,Meier,03,1,2269-6796,S, ,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11838&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{DAF6473A-C116-4566-AA04-2A44CB2051E5},0,0,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0313020.jpg,1,,313020,EM Bento Ribeiro,3.4,81,03,0313020,Escola Municipal Bento Ribeiro,{C2269A49-E507-415D-AF4E-1F052B82ADD0},0,0,0,3,9,2,0,0,17,0,0313020
-43.273393627103829,-22.886813461564586,21,011831,0313027,11831,33072841,Escola Municipal Jean Mermoz,"Rua São Gabriel, 261  ",65,Cachambi,03,1,2501-0904,S, ,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11831&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{9F09F692-F6BF-4CE3-8FBF-8FE9B69F9F9F},0,0,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0313027.jpg,1,,313027,EM Jean Mermoz,3.13,88,03,0313027,Escola Municipal Jean Mermoz,{30EF409A-DD86-4437-9E6F-5C9B3F58BE22},0,2,7,4,0,0,0,0,12,2,0313027
-43.30803142136056,-22.88414039055845,22,011814,0313044,11814,33072850,Escola Municipal João Kopke,"Rua Souza Cerqueira, 63  ",69,Piedade,03,1,2595-5591,S, ,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11814&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{A92C57E3-406F-4BC6-93C4-EF33048ABB61},0,0,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0313044.jpg,1,,313044,EM João Kopke,3.8,105,03,0313044,Escola Municipal João Kopke,{67405C39-7994-42B0-BE40-7DF09D20D055},0,3,6,4,4,2,1,0,17,3,0313044
-43.254104391472794,-22.885317768758163,23,011789,0328501,11789,33071357,CIEP Vinicius de Moraes,"Av. Dom Hélder Câmara, 1.715  ",155,Jacarezinho,03,3,2218-5509,S, ,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11789&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{0CCAFF4C-CFAE-4FB2-B750-FEFBABE1252D},1,2,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0328501.tiff,1,,328501,CIEP Vinicius de Moraes,3.12,135,03,0328501,Ciep Vinicius de Moraes,{DA47EA7B-BE1F-43B0-802A-62EF0B01A12F},0,6,13,3,0,0,0,0,23,6,0328501
-43.277710216249147,-22.853023863400416,24,011289,0410502,11289,33068763,CIEP Maestro Francisco Mignone,"Rua Itapé, S/Nº  ",42,Olaria,04,3,2270-2663,S, ,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11289&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{9226A03E-01F0-4C70-9EC0-68ECFEB24826},1,2,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0410502.jpg,0,,410502,CIEP Maestro Francisco Mignone,4.15,172,04,0410502,Ciep Maestro Francisco Mignone,{8245C2FD-C48E-4F93-956B-145A21816A01},1,4,7,4,0,0,0,0,19,5,0410502
-43.275170026516719,-22.838964267396957,25,011365,0411009,11365,33070334,Escola Municipal Cientista Mário Kroeff,"Rua do Couto, 91  ",43,Penha,04,1,2590-3841,S, ,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11365&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{D7E7672F-DAC3-4B27-8360-AB88A360B958},0,0,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0411009.jpg,0,,411009,EM Cientista Mário Kroeff,4.13,189,04,0411009,Escola Municipal Cientista Mário Kroeff,{C0A99633-09C9-496F-9C31-97018D84984C},0,2,7,8,8,2,1,0,18,2,0411009
-43.312536279619358,-22.837830316866338,26,011355,0411020,11355,33070113,Escola Municipal Grécia,"Av. Brás de Pina, 1.614  ",45,Bráz de Pina,04,1,3391-5972,S,Bairro Vila da Penha,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11355&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{9D6E3691-CFFF-406C-A82A-55EAD91A0440},0,0,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0411020.jpg,0,,411020,EM Grécia,5.3,200,04,0411020,Escola Municipal Grécia,{FE20CDB2-1246-4610-BD95-673B30BCDC13},0,1,3,8,10,4,0,0,16,1,0411020
-43.30453355929717,-22.844827079591088,27,011354,0411021,11354,33074593,Escola Municipal Miguel Ângelo,"Rua Carlos Chamberland, 187  ",44,Penha Circular,04,1,3391-1350,S,Bairro Vila da Penha,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11354&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{4893982B-9D04-43C1-B57F-162B27C4400E},0,2,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0411021.jpg,0,,411021,EM Miguel Ângelo,5.2,201,04,0411021,Escola Municipal Miguel Ângelo,{2EA1DA74-22B5-4DB8-BCA3-4C5E8D2C37D0},0,0,2,8,7,0,0,0,8,0,0411021
-43.287697569325594,-22.827137353529309,28,011347,0411028,11347,33070865,Escola Municipal São Paulo,"Rua Tailândia, 160  ",45,Bráz de Pina,04,1,2485-3288,S, ,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11347&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{5E5E7908-9852-4117-BC34-595AE27CBF87},0,0,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0411028.jpg,1,,411028,EM São Paulo,4.14,205,04,0411028,Escola Municipal São Paulo,{C6FD28C9-7C13-4279-94B3-E9EF7C99EDDD},0,4,9,10,8,4,0,0,18,4,0411028
-43.303566347229264,-22.815270044465173,29,011332,0431017,11332,33070490,Escola Municipal Cardeal Câmara,"Rua Anamá, 98  ",48,Vigário Geral,04,1,3451-9601,S,O bairro correto é Parada de Lucas,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11332&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{14C7EA12-3848-4640-B8E6-B3F21AA5D828},0,0,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0431017.jpg,1,,431017,EM Card. Câmara,4.23,509,04,0431017,Escola Municipal Cardeal Câmara,{51ABC2A6-6A76-4A97-9B0B-413FB8EA1150},0,0,4,8,9,0,0,0,14,0,0431017
-43.32179356581657,-22.811660749503822,30,011568,0431026,11568,33070610,Escola Municipal Herbert Moses,"Rua Cristiano Machado, S/Nº  ",49,Jardim America,04,1,3346-3641,S, ,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11568&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{1FD6A39E-1D01-4E68-B764-B76DB80B4B5E},0,0,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0431026.jpg,1,,431026,EM Herbert Moses,4.26,518,04,0431026,Escola Municipal Herbert Moses,{E924258F-811E-4386-B6E4-35220B29C94B},0,0,0,7,16,0,0,8,13,0,0431026
-43.316233137356271,-22.856838438650858,35,010916,0514005,10916,33074356,Escola Municipal Bolívia,"Pça. Cotegi, 211  ",73,Vicente de Carvalho,05,1,3351-8533,S, ,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10916&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{BADAA860-22B3-4EC9-8696-500AB8DEDF01},1,0,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0514005.jpg,0,,514005,EM Bolívia,5.5,534,05,0514005,Escola Municipal Bolívia,{5B7C79A6-0E65-4DA3-BC69-6A0CBC2F7061},1,4,9,0,0,0,0,0,8,5,0514005
-43.323464577427487,-22.838158909614329,36,010931,0514020,10931,33074496,Escola Municipal José do Patrocínio,"Rua Gustavo de Andrade, 270  ",76,Irajá,05,1,3371-9533,S, ,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10931&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{1CB274AA-7801-47D5-97A6-7BE5947685F3},0,0,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0514020.jpg,0,,514020,EM José do Patrocínio,5.3,549,05,0514020,Escola Municipal José do Patrocínio,{99A3FF32-50D5-4858-9766-44EB9DB0CE8B},0,0,0,6,13,0,1,0,10,0,0514020
